PaketID,Transmitions,RTT,RTO
1,1,0.0349998474121,0.0874996185303
2,1,0.0369999408722,0.0766247808933
3,1,0.0390000343323,0.070499997586
4,1,0.0429999828339,0.0699961767532
5,1,0.0460000038147,0.0721969368751
6,1,0.0130000114441,0.0852979181582
7,1,0.0130000114441,0.0916361275404
9,1,0.0139999389648,0.0924632622388
10,1,0.0130000114441,0.0914290271129
11,1,0.0130000114441,0.088299403572
12,1,0.0120000839233,0.0847674186999
13,1,0.0130000114441,0.0793006378351
14,1,0.0130000114441,0.0736411683179
15,1,0.0139999389648,0.0671571687143
16,1,0.0149998664856,0.0603659439641
17,1,0.0220000743866,0.0526474787672
19,1,0.0330002307892,0.0589996805478
20,1,0.0469999313354,0.0781054932759
21,1,0.0469999313354,0.0896716340681
22,1,0.0469999313354,0.0959284232526
8,2,0.047000169754,0.0985056940034
23,1,0.0620000362396,0.115462330097
24,1,0.0629999637604,0.126044344311
18,2,0.0620000362396,0.129893735786
25,1,0.0780000686646,0.148298257309
27,1,0.0629999637604,0.141304288146
28,1,0.0620000362396,0.133142567285
29,1,0.0629999637604,0.126688152336
30,1,0.0629999637604,0.120462186632
31,1,0.0620000362396,0.113455783713
32,1,0.0629999637604,0.10837475815
26,2,0.0620000362396,0.102497454339
33,1,0.0780000686646,0.115374965875
34,1,0.077999830246,0.122657599062
36,1,0.0780000686646,0.126041540037
37,1,0.0789999961853,0.127885873782
38,1,0.077999830246,0.126443347445
39,1,0.0780000686646,0.123983097845
40,1,0.0620000362396,0.115630477565
41,1,0.0620000362396,0.108473119214
35,2,0.0629999637604,0.101448882373
42,1,0.0780000686646,0.105755402
43,1,0.0789999961853,0.108839119799
45,1,0.0609998703003,0.106135308636
46,1,0.047000169754,0.11520018809
47,1,0.0339999198914,0.130392983288
48,1,0.0190000534058,0.150475855081
44,2,0.0320000648499,0.148171610879
